Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
BTL Casamigos Repo 750ml,1378,481098,Star,77,501,172251.0,1318,0.05842185128983308,0.38012139605462825
BTL Cincoro Blanco 750ml,9,3800,Puzzle,4,4,518.0,9,0.4444444444444444,0.4444444444444444
BTL Cincoro Reposado,1,600,Puzzle,1,0,0.0,1,1.0,0.0
BTL Clase Azul Repo 750ml,323,212784,Star,21,57,44902.0,305,0.06885245901639345,0.18688524590163935
BTL Class Azul Reposado 1.75L,10,19462,Puzzle,1,8,4904.0,10,0.1,0.8
BTL Codigo Blanco,11,4418,Puzzle,3,2,119.0,11,0.2727272727272727,0.18181818181818182
BTL Contraluz 750ml,5,1750,Puzzle,1,1,1150.0,5,0.2,0.2
BTL Crown Peach,3,930,Puzzle,0,1,500.0,3,0.0,0.3333333333333333
BTL Diplomatico Mantuano,1,400,Puzzle,0,0,0.0,1,0.0,0.0
BTL Diplomatico Planas,9,3550,Puzzle,0,2,62.0,9,0.0,0.2222222222222222
BTL Don Julio 1942 1.75L,5,7729,Puzzle,3,2,2240.0,5,0.6,0.4
BTL Don Julio 1942 750ml,167,99846,Star,12,81,31942.0,159,0.07547169811320754,0.5094339622641509
BTL Don Julio 70,213,102001,Star,18,40,18815.0,206,0.08737864077669903,0.1941747572815534
BTL Don Julio Blanco,8,2200,Puzzle,1,3,768.0,8,0.125,0.375
BTL Don Julio Reposado,74,35479,Star,7,19,7081.0,74,0.0945945945945946,0.25675675675675674
